codigo_IATA;asientos;modelo
223;200;Airbus A220-300
290;200;Embraer E190-E2
295;200;Embraer E195-E2
319;141;Airbus A319
320;180;Airbus A320-100/200
321;200;Airbus A321-100/200
32A;220;Airbus A320(sharklets)
32B;220;Airbus A321(sharklets)
32Q;220;Airbus A321neo | LR | XLR
32N;220;Airbus A320neo
32S;220;Airbus A318/319/320/321
332;288;Airbus A330-200
333;295;Airbus A330-300
343;295;Airbus A340-300
717;106;Boeing 717
735;106;Boeing 737-500
73C;189;Boeing 737-300 Winglets
73G;189;Boeing 737-700 | 737-700ER
73H;189;Boeing 737-800 Winglets
73J;220;Boeing 737-900 Winglets
73W;189;Boeing 737-700 Winglets
738;189;Boeing 737-800
7S8;189;Boeing ??
737;189;Boeing 737
734;189;Boeing 737-400
752;239;Boeing 757-200
75T;239;Boeing 757??
75W;239;Boeing 757??
767;278;Boeing 767
76W;278;Boeing 767??
788;200;Boeing ??
7M8;200;Boeing ??
7M9;200;Boeing ??
789;200;Boeing 787-9pax
AT7;72;Aerospatiale/Alenia ATR72
ATR;72;Aerospatiale/Alenia ATR42 / ATR72
BE4;10;Beechcraft ??
CRK;50;Canadair Regional Jet
DH4;68;DeHavilland Canada DHC-8-400 Dash8Q
E75;100;Desconocido
E90;100;Desconocido
E95;122;Embraer E-195
EP3;100;Embraer E-190
GJ5;100;Desconocido
H28;100;British Aerospace (HawkerSiddeley)??
M83;172;McDonnell Douglas MD83